イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2,裏,1,0,2,○,○,-,與 賢史朗,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,6,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,1,1,2,○,○,-,與 賢史朗,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,12,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,1,2,○,○,-,與 賢史朗,北陸大学,右,池邉由伸,福井工業大学,左,ストレート,,4,真ん中,インプレー,1,1,1,1,1,,-,二塁打,ライナー,左翼手,0,2,2,3,
2,裏,0,0,2,-,○,-,吉野京士郎,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,2,-,○,-,吉野京士郎,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,2,2,-,○,-,吉野京士郎,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,4,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,0,2,2,-,○,-,吉野京士郎,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,2,2,-,○,-,吉野京士郎,北陸大学,右,高松 紳志,福井工業大学,左,スライダー,,4,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,1,2,2,-,○,-,吉野京士郎,北陸大学,右,高松 紳志,福井工業大学,左,ストレート,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
3,表,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,亀澤祐貴,北陸大学,右,ストレート,,5,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
3,表,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,藤田海輝,北陸大学,右,ストレート,,4,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
