イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ,作戦1,作戦2,作戦3
2,裏,0,2,1,-,-,-,山口蒼介,富山大学,右,藤田 泰己,金沢工業大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,裏,1,2,1,-,-,-,山口蒼介,富山大学,右,藤田 泰己,金沢工業大学,右,ストレート,,9,,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,,,,
2,裏,0,0,2,-,-,-,山口蒼介,富山大学,右,絈野 友成,金沢工業大学,右,スライダー,,8,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,裏,0,1,2,-,-,-,山口蒼介,富山大学,右,絈野 友成,金沢工業大学,右,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,裏,1,1,2,-,-,-,山口蒼介,富山大学,右,絈野 友成,金沢工業大学,右,フォーク,,5,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
2,裏,1,2,2,-,-,-,山口蒼介,富山大学,右,絈野 友成,金沢工業大学,右,ストレート,,11,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,裏,1,2,2,-,-,-,山口蒼介,富山大学,右,絈野 友成,金沢工業大学,右,ストレート,,9,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
2,裏,1,2,2,-,-,-,山口蒼介,富山大学,右,絈野 友成,金沢工業大学,右,スライダー,,14,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,,,,
3,表,0,0,0,-,-,-,伴,金沢工業大学,右,櫻井飛源,富山大学,左,カーブ,,8,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
3,表,0,1,0,-,-,-,伴,金沢工業大学,右,櫻井飛源,富山大学,左,チェンジアップ,,8,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,,,,
3,表,0,2,0,-,-,-,伴,金沢工業大学,右,櫻井飛源,富山大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
3,表,1,2,0,-,-,-,伴,金沢工業大学,右,櫻井飛源,富山大学,左,スライダー,,14,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,,,,
3,表,0,0,1,-,-,-,伴,金沢工業大学,右,中野栞汰,富山大学,左,スライダー,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,,,,
3,表,1,0,1,-,-,-,伴,金沢工業大学,右,中野栞汰,富山大学,左,ストレート,,3,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,,,,
