Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,5,表,2,0,1,-,○,-,大槇優斗,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,カットボール,,7,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,2,1,1,-,○,-,大槇優斗,金沢学院大学,右,前谷内琉斗,金沢星稜大学,左,チェンジアップ,,5,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,2,2,1,-,○,-,大槇優斗,金沢学院大学,右,前谷内琉斗,金沢星稜大学,右,チェンジアップ,,13,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,C4
2025/10/4,5,表,0,0,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,スライダー,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,0,1,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,チェンジアップ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,1,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,2,1,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,スライダー,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,3,1,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,スライダー,,4,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,3,2,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,ストレート,,5,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,3,2,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,,,,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,3,2,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,カットボール,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,3,2,2,-,○,-,大槇優斗,金沢学院大学,右,津澤泰成,金沢星稜大学,左,スライダー,,14,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,1,
2025/10/4,5,裏,0,0,0,-,-,-,野﨑勇一郎,金沢星稜大学,右,山川悟輝,金沢学院大学,左,スライダー,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,裏,0,1,0,-,-,-,野﨑勇一郎,金沢星稜大学,右,山川悟輝,金沢学院大学,左,ストレート,,7,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,M2
2025/10/4,5,裏,0,0,1,-,-,-,野﨑勇一郎,金沢星稜大学,右,川合錬磨,金沢学院大学,右,カーブ,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
