Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/10,3,裏,1,2,1,-,-,-,大槇 優斗,金沢学院大学,右,細川叶人,福井工業大学,右,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,3,裏,1,2,1,-,-,-,大槇 優斗,金沢学院大学,右,細川叶人,福井工業大学,右,ストレート,,11,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2025/10/10,3,裏,0,0,2,-,-,-,大槇 優斗,金沢学院大学,右,野口恭平,福井工業大学,左,ストレート,,8,真ん中,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,3,裏,0,1,2,-,-,-,大槇 優斗,金沢学院大学,右,野口恭平,福井工業大学,左,ストレート,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
2025/10/10,4,表,0,0,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,4,表,1,0,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,ストレート,,1,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,4,表,1,1,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,ストレート,,5,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,4,表,1,2,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,スライダー,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,4,表,2,2,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,ストレート,,4,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/10,4,表,2,2,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,ストレート,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,4,表,3,2,0,-,-,-,向嶋 大輔,福井工業大学,右,南 早羽己,金沢学院大学,左,ストレート,,11,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2025/10/10,4,表,0,0,0,○,-,-,向嶋 大輔,福井工業大学,右,岸田脩汰,金沢学院大学,右,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/10,4,表,0,1,0,○,-,-,向嶋 大輔,福井工業大学,右,岸田脩汰,金沢学院大学,右,ストレート,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,一塁手,1,0,0,0,
2025/10/10,4,表,0,0,1,-,○,-,向嶋 大輔,福井工業大学,右,後藤 耀介,金沢学院大学,右,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
