イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2,表,0,0,1,-,-,-,玉村凌大,金沢星稜大学,右,南 早羽己,金沢学院大学,左,ストレート,,9,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,0,1,1,-,-,-,玉村凌大,金沢星稜大学,右,南 早羽己,金沢学院大学,左,ストレート,,1,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,H3
2,表,0,0,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,1,0,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,2,0,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,2,1,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,表,3,1,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,ストレート,,9,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,3,2,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,ストレート,,6,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,表,3,2,2,-,-,-,玉村凌大,金沢星稜大学,右,岸田脩汰,金沢学院大学,右,スライダー,,14,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2,裏,0,0,0,-,-,-,水谷光希,金沢学院大学,右,架谷 岳,金沢星稜大学,右,フォーク,,7,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,0,-,-,-,水谷光希,金沢学院大学,右,架谷 岳,金沢星稜大学,右,ストレート,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,1,0,-,-,-,水谷光希,金沢学院大学,右,架谷 岳,金沢星稜大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,1,0,-,-,-,水谷光希,金沢学院大学,右,架谷 岳,金沢星稜大学,右,フォーク,,13,真ん中,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,2,2,0,-,-,-,水谷光希,金沢学院大学,右,架谷 岳,金沢星稜大学,右,ストレート,,9,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2,裏,0,0,1,-,-,-,水谷光希,金沢学院大学,右,苅安 陸,金沢星稜大学,右,ストレート,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,1,1,-,-,-,水谷光希,金沢学院大学,右,苅安 陸,金沢星稜大学,右,ストレート,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,0,2,1,-,-,-,水谷光希,金沢学院大学,右,苅安 陸,金沢星稜大学,右,ストレート,,9,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2,裏,0,2,1,-,-,-,水谷光希,金沢学院大学,右,苅安 陸,金沢星稜大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,2,1,-,-,-,水谷光希,金沢学院大学,右,苅安 陸,金沢星稜大学,右,スライダー,,9,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,投手,1,0,0,0,M2
2,裏,0,0,2,-,-,-,水谷光希,金沢学院大学,右,清水翔音,金沢星稜大学,右,フォーク,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,0,2,-,-,-,水谷光希,金沢学院大学,右,清水翔音,金沢星稜大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,0,2,-,-,-,水谷光希,金沢学院大学,右,清水翔音,金沢星稜大学,右,スライダー,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,1,2,-,-,-,水谷光希,金沢学院大学,右,清水翔音,金沢星稜大学,右,ストレート,,7,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,P6
3,表,0,0,0,-,-,-,玉村凌大,金沢星稜大学,右,今岡歩夢,金沢学院大学,左,ストレート,,8,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,表,0,1,0,-,-,-,玉村凌大,金沢星稜大学,右,今岡歩夢,金沢学院大学,左,カーブ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,1,0,-,-,-,玉村凌大,金沢星稜大学,右,今岡歩夢,金沢学院大学,左,スライダー,,7,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,H6
3,表,0,0,1,-,-,-,玉村凌大,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,12,真ん中,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
3,表,0,1,1,-,-,-,玉村凌大,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,1,1,-,-,-,玉村凌大,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,2,1,1,-,-,-,玉村凌大,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,3,1,1,-,-,-,玉村凌大,金沢星稜大学,右,三島袈夢,金沢学院大学,左,ストレート,,13,外角,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
3,表,0,0,1,○,-,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,スライダー,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,ストレート,,6,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,2,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,ストレート,,13,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,表,0,2,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,スライダー,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,2,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,2,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,ストレート,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,2,2,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,フォーク,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,3,2,1,-,○,-,玉村凌大,金沢星稜大学,右,張田 大,金沢学院大学,左,ストレート,,3,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,U4
3,表,0,0,2,-,○,-,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,スライダー,,9,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,2,-,○,-,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,1,2,-,○,-,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,ストレート,,12,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,2,1,2,-,○,-,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,スライダー,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,3,1,2,-,-,○,玉村凌大,金沢星稜大学,右,山川悟輝,金沢学院大学,左,スライダー,,,,死球,1,1,0,0,0,,-,,,,0,0,0,0,
3,表,0,0,2,○,-,○,玉村凌大,金沢星稜大学,右,川合錬磨,金沢学院大学,右,ストレート,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,1,0,2,○,-,○,玉村凌大,金沢星稜大学,右,川合錬磨,金沢学院大学,右,ストレート,,7,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,G5
3,裏,0,0,0,-,-,-,水谷光希,金沢学院大学,右,東元龍成,金沢星稜大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,0,0,-,-,-,水谷光希,金沢学院大学,右,東元龍成,金沢星稜大学,右,ストレート,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,2,0,0,-,-,-,水谷光希,金沢学院大学,右,東元龍成,金沢星稜大学,右,ストレート,,8,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
